name,url,startup,booth,homepage,categories_detail,overview
2TONNES,https://vivatechnology.com/partners/2tonnes,startup,passerelle Booth O08-005,https://www.2tonnes.org,"EdTech, Climate Tech","What if the ecological transition was the key to tackling 21st century challenges?   To face today's crises without exceeding planetary limits, let's rethink how we act! 2tonnes creates immersive workshops to understand, act, and build collective power."
AKIVI,https://vivatechnology.com/partners/akivi,startup,hall1 Booth J47-001,https://www.akivi.fr,"EdTech, Healthcare & Wellness, Data Management & CRM","The company AKIVI is dedicated to supporting the training of our future healthcare professionals in human anatomy.
AKIVI offers educational programs that combine various teaching methods within personalized and certified learning paths."
ALEFREDO EXAMS,https://vivatechnology.com/partners/alefredo-exams,startup,hall2 Booth P19-002,https://alefredoexams.com/,EdTech,"AI-powered test-bank that transforms exams and worksheets into interactive, gamified content. We offer quizzes, past exams, and rewards to engage students from grades 6–12 (American, British IB educational Systems) and medical students."
ANONYMOUS DOTS TECHNOLOGY COLIMITED,https://vivatechnology.com/partners/anonymous-dots-technology-colimited,startup,hall1 Booth F48-004,https://www.cathoven.com/,"Artificial Intelligence, EdTech, Growth & Investment","Cathoven — Your AI Buddy for English Writing & Speaking
From daily practice to IELTS prep, Cathoven offers instant scoring, targeted feedback, and progress tracking. Trusted by 40,000+ educators and 50+ top higher ed, including Columbia, Cambridge and ASU"
AUGMEDI AG,https://vivatechnology.com/partners/augmedi-ag,startup,hall1 Booth B38-006,https://augmedi.com/,"EdTech, Healthcare & Wellness, Growth & Investment","Augmedi is transforming medical education: With photorealistic 3D models and an AI-powered learning platform, Augmedi replaces traditional anatomy and surgical training with an intelligent, adaptive learning experience—anytime, anywhere, and for all level"
AWORLD,https://vivatechnology.com/partners/aworld,startup,hall1 Booth C15-004,https://aworld.org,"Fintech, Banking & Crypto, EdTech, HR & Future of Work","AWorld's AI Engagement Engine: Create better experiences for employees, customers & communities. Drive impactful learning, loyalty & action that truly connects. Simplify engagement, amplify positive change globally."
BEEKEE,https://vivatechnology.com/partners/beekee,startup,hall1 Booth B38-028,https://beekee.ch/,"EdTech, HR & Future of Work, Industry & Supply Chain","Digital classrooms everywhere, without internet or power.

The can-sized Beekee Box enables instructors to deploy a digital classroom for up to 40 learners anywhere, connecting to an offline wifi with their smartphones or devices."
BLATRON,https://vivatechnology.com/partners/blatron,startup,,https://blatron.com/,"EdTech, GovTech & Public sector, Healthcare & Wellness",Brazilian startup developing and commercializing low-cost impedance analysis technology.
BLIFY,https://vivatechnology.com/partners/blify,startup,hall1 Booth J50-002,https://www.blify.co/,"Artificial Intelligence, EdTech, HR & Future of Work","Blify turns your Slack, MS Teams, WhatsApp, Google Chat, and SMS into your next-gen manager training platform — no new app needed"
CCI PARIS ILE-DE-FRANCE,https://vivatechnology.com/partners/cci-paris-ile-de-france,,hall1 Booth G50,https://www.cci-paris-idf.fr,"Artificial Intelligence, Consulting & B2B services, GovTech & Public sector, EdTech, Connectivity, Cloud & Infrastructure, Cybersecurity, Industry & Supply Chain, Data Management & CRM, Energy, Space, Aeronautics & Defense, Growth & Investment, Deep Tech & Quantum Computing, Healthcare & Wellness, Retail & E-commerce, Diversity & Inclusion, Food & Agriculture, Climate Tech, HR & Future of Work, Mobility & Smart Cities, Luxury, Fashion & Cosmetics, Marketing & Advertising, Cloud & Infrastructure, Fintech, Banking & Crypto","Boosting projects, driving growth
At Paris Ile-de-France CCI we are resolutely focused on driving economic growth. Our incubators give startups the support they need to flourish and grow their business. We provide advice and assistance for SMBs at every stage of their development. Our schools offer outstanding training for the jobs of tomorrow. We are fully committed to investing in people and projects to shape the future of the capital region.
....................

Avec la CCI Paris Ile-de-France, boostez vos innovations ! accélération, réseaux, financement, digitalisation, international... : on a les experts qu'il vous faut et la bonne solution pour chacune et chacun d'entre vous.

Au plus près de chez vous, nous vous mettons en relation avec les bons réseaux pour créer, financer et développer votre activité."
