name,booth,homepage,categories,overview,startup,partner_url
3DVarius,hall1 Booth H22-022,https://www.3d-varius.com/,"Artificial Intelligence, Entertainment, Media & Creators Economy, Retail & E-commerce","3Dvarius designs and manufactures high-end electric violins using 3D printing technology. Made in France, 3Dvarius blends precision, innovation, and artistry to offer unique instruments for modern violinists seeking new soundscapes.",startup,https://vivatechnology.com/partners/3dvarius
ASTERFOX - SOMMELIER IA,hall1 Booth B30-003,https://www.asterfox.com/,"Artificial Intelligence, Food & Agriculture, Retail & E-commerce","AsterFox is an innovative digital platform for wine enthusiasts, offering users the ability to revolutionize the way of choosing and buying wine and receive personalized recommendations from our AI Sommellier.",startup,https://vivatechnology.com/partners/asterfox-sommelier-ia
Ayand.ai GmbH,hall1 Booth D11-010,https://www.ayand.ai,"Retail & E-commerce, Artificial Intelligence, Consulting & B2B services","Ayand.ai transforms in-store shopping with conversational AI at the shelf. Our smart displays provide real-time, multilingual product information and visual cues. No staff or app needed. We help retailers boost engagement, conversion, and satisfaction.",startup,https://vivatechnology.com/partners/ayandai-gmbh
Aynid,hall1 Booth L29-020,https://aynid.io,"Fintech, Banking & Crypto, Marketing & Advertising, Retail & E-commerce","Aynid, an innovative Ivorian startup, is revolutionizing access to information and e-commerce through an intelligent search engine. A true digital marketplace, it offers simple, fast, and effective solutions to meet all your needs.",startup,https://vivatechnology.com/partners/aynid
BEAUTYBYME,hall1 Booth J47-004,https://www.tiktok.com/@mycosmetik,"Luxury, Fashion & Cosmetics, Industry & Supply Chain, Retail & E-commerce","Launching a cosmetic brand is an adventure. Managing it day-to-day is a profession.
MyCosmetik is here to help: manufacturing, custom packaging, turnkey e-commerce logistics - so you can focus on your brand.
Ready to launch your own line? Get in touch!",startup,https://vivatechnology.com/partners/beautybyme
Beink Dream,hall1 Booth J50-001,https://www.beink.fr/,"Artificial Intelligence, Deep Tech & Quantum Computing","Beink Dream is a visual collaboration platform for decision-makers, merging generative AI and human insight to accelerate strategic decisions. Secure, scalable, and cloud-ready, it helps structure complex ideas in shared visual spaces.",startup,https://vivatechnology.com/partners/beink-dream
Bryanthings,hall1 Booth F49-001,https://www.bryanthings.com/,"Artificial Intelligence, Luxury, Fashion & Cosmetics, Retail & E-commerce","We design immersive customer experiences powered by AI photobooths and more. Blending emotion, data, and revenue, we create memorable moments that engage visitors, generate added value, and elevate the journey from simple interaction to lasting souvenir.",startup,https://vivatechnology.com/partners/bryanthings
Captain Blink,hall1 Booth E59-023,https://www.captainblink.com,"Industry & Supply Chain, Mobility & Smart Cities, Retail & E-commerce","Captain Blink développe des brassards lumineux connectés pour sécuriser les cyclistes et usagers de mobilités douces. Notre solution Made in France combine visibilité 360°, clignotants et détection de freinage pour révolutionner la sécurité urbaine.",startup,https://vivatechnology.com/partners/captain-blink
Cloov S.r.l.,hall1 Booth C15-007,https://cloov.tech/,"Consulting & B2B services, Luxury, Fashion & Cosmetics, Retail & E-commerce","Cloov is a B2B software that helps brands to seamlessly integrate circular offerings like resale, rental and repair into their core business.",startup,https://vivatechnology.com/partners/cloov-srl
Co Print,hall1 Booth C10-009,https://coprint3d.com,"Growth & Investment, Retail & E-commerce, Industry & Supply Chain","Co Print is dedicated to driving innovation in 3D printing technology. Since our founding in 2020, we have remained focused on pioneering advancements to enhance the 3D printer ecosystem for users worldwide.",startup,https://vivatechnology.com/partners/co-print
